date,exercise,set_number,reps_numerator,reps_denominator
2020-06-15,ladder set,3,3,3
2020-06-15,wall slides,1,6,6
2020-06-15,wall slides,2,6,6
2020-06-15,titanium ankles,1,1,1
2020-06-15,titanium ankles,2,1,1
2020-06-15,titanium ankles,3,1,1
2020-06-15,Compressives,1,1,1
2020-06-15,Compressives,2,1,1
2020-06-15,Compressives,3,1,1
2020-06-17,band curls (Purple),1,6,6
2020-06-17,band curls (Purple),2,6,6
2020-06-17,band curls (Purple),3,6,6
2020-06-17,(N) pushup,1,6,6
2020-06-17,(N) pushup,2,6,6
2020-06-17,(N) pushup,3,6,6
2020-06-17,Kettlebell Band Rows (Purple),1,8,8
2020-06-17,Kettlebell Band Rows (Purple),2,8,8
2020-06-17,Kettlebell Band Rows (Purple),3,8,8
2020-06-17,dip shrugs,1,8,8
2020-06-17,dip shrugs,2,8,8
2020-06-17,scapular pushups (Black),1,8,8
2020-06-17,scapular pushups (Black),2,8,8
2020-06-17,Superman,1,60,60
2020-06-17,Superman,2,60,60
2020-06-17,forearm roller,1,2,2
2020-06-17,forearm roller,2,2,2
2020-06-17,forearm roller,3,1,1
2020-06-17,wall slides,1,6,6
2020-06-17,wall slides,2,6,6
2020-06-15,Compressives,1,1,1
2020-06-15,Compressives,2,1,1
2020-06-15,Compressives,3,1,1
2020-06-17,ladder set,1,7,7
2020-06-17,ladder set,2,5,5
2020-06-17,ladder set,3,3,3
2020-06-18,pistol squat (lvl 2),1,8,12
2020-06-18,pistol squat (lvl 2),2,7,12
2020-06-18,pistol squat (lvl 2),3,6,12
2020-06-18,glute ham hinge (1 Leg),1,12,12
2020-06-18,glute ham hinge (1 Leg),2,12,12
2020-06-18,glute ham hinge (1 Leg),3,12,12
2020-06-18,calf raise,1,30,30
2020-06-18,calf raise,2,30,30
2020-06-18,calf raise,3,30,30
2020-06-18,bent leg calf raise,1,20,20
2020-06-18,bent leg calf raise,2,20,20
2020-06-18,titanium ankles,1,1,1
2020-06-18,titanium ankles,2,1,1
2020-06-18,titanium ankles,3,1,1
2020-06-15,Compressives,1,1,1
2020-06-15,Compressives,2,1,1
2020-06-15,Compressives,3,1,1
2020-06-18,ladder set,1,10,10
2020-06-18,ladder set,2,7,7
2020-06-18,ladder set,3,5,5
2020-06-19,band curls (Green),1,10,10
2020-06-19,band curls (Green),2,10,10
2020-06-19,band curls (Green),3,10,10
2020-06-19,pushup,1,10,10
2020-06-19,pushup,2,10,10
2020-06-19,pushup,3,10,10
2020-06-19,Kettlebell Band Rows (Green),1,8,8
2020-06-19,Kettlebell Band Rows (Green),2,8,8
2020-06-19,Kettlebell Band Rows (Green),3,8,8
2020-06-19,dip shrugs,1,8,8
2020-06-19,dip shrugs,2,8,8
2020-06-19,scapular pushups (Black),1,8,8
2020-06-19,scapular pushups (Black),2,8,8
2020-06-19,Superman,1,60,60
2020-06-19,Superman,2,60,60
2020-06-19,forearm roller,1,2,2
2020-06-19,forearm roller,2,2,2
2020-06-19,forearm roller,3,2,2
2020-06-19,wall slides,1,6,6
2020-06-19,wall slides,2,6,6
2020-06-19,titanium ankles,1,1,1
2020-06-19,titanium ankles,2,1,1
2020-06-19,titanium ankles,3,1,1
2020-06-19,Compressives,1,1,1
2020-06-19,Compressives,2,1,1
2020-06-19,Compressives,3,1,1
2020-06-19,ladder set,1,10,10
2020-06-19,ladder set,2,7,7
2020-06-19,ladder set,3,5,5
2020-06-22,band curls (Green),1,10,10
2020-06-22,band curls (Green),2,10,10
2020-06-22,band curls (Green),3,10,10
2020-06-22,pushup,1,10,10
2020-06-22,pushup,2,10,10
2020-06-22,pushup,3,6,10
2020-06-22,Kettlebell Band Rows (Blue),1,8,8
2020-06-22,Kettlebell Band Rows (Blue),2,8,8
2020-06-22,Kettlebell Band Rows (Blue),3,8,8
2020-06-22,dip shrugs,1,8,8
2020-06-22,dip shrugs,2,8,8
2020-06-22,scapular pushups (Black),1,8,8
2020-06-22,scapular pushups (Black),2,8,8
2020-06-22,Superman,1,60,60
2020-06-22,Superman,2,60,60
2020-06-22,forearm roller,1,2,2
2020-06-22,forearm roller,2,2,2
2020-06-22,forearm roller,3,2,2
2020-06-22,wall slides,1,6,6
2020-06-22,wall slides,2,6,6
2020-06-22,titanium ankles,1,1,1
2020-06-22,titanium ankles,2,1,1
2020-06-22,titanium ankles,3,1,1
2020-06-22,Compressives,1,1,1
2020-06-22,Compressives,2,1,1
2020-06-22,Compressives,3,1,1
2020-06-22,ladder set,1,10,10
2020-06-22,ladder set,2,7,7
2020-06-22,ladder set,3,5,5
2020-06-23,pistol squat (lvl 2),1,11,12
2020-06-23,pistol squat (lvl 2),2,9,12
2020-06-23,pistol squat (lvl 2),3,8,12
2020-06-23,glute ham hinge (1 Leg),1,12,12
2020-06-23,glute ham hinge (1 Leg),2,12,12
2020-06-23,glute ham hinge (1 Leg),3,12,12
2020-06-23,calf raise (Red),1,30,30
2020-06-23,calf raise (Red),2,30,30
2020-06-23,calf raise (Red),3,30,30
2020-06-23,bent leg calf raise,1,20,20
2020-06-23,bent leg calf raise,2,20,20
2020-06-23,titanium ankles,1,1,1
2020-06-23,titanium ankles,2,1,1
2020-06-23,titanium ankles,3,1,1
2020-06-23,Compressives,1,1,1
2020-06-23,Compressives,2,1,1
2020-06-23,Compressives,3,1,1
2020-06-23,ladder set,1,10,10
2020-06-23,ladder set,2,7,7
2020-06-23,ladder set,3,5,5
2020-06-24,Chin ups,1,2,10
2020-06-24,Chin ups,2,2,10
2020-06-24,Chin ups,3,2,10
2020-06-24,(N) pushup,1,6,10
2020-06-24,(N) pushup,2,6,10
2020-06-24,(N) pushup,3,6,10
2020-06-24,Kettlebell Band Rows (Green),1,8,8
2020-06-24,Kettlebell Band Rows (Green),2,8,8
2020-06-24,Kettlebell Band Rows (Green),3,8,8
2020-06-24,dip shrugs,1,8,8
2020-06-24,dip shrugs,2,8,8
2020-06-24,scapular pushups (Black),1,8,8
2020-06-24,scapular pushups (Black),2,8,8
2020-06-24,Superman,1,60,60
2020-06-24,Superman,2,60,60
2020-06-24,forearm roller,1,3,3
2020-06-24,forearm roller,2,2,2
